Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
SWIFT,3. GTO Done,Enterprise,Yes,M2C,Corp,Corp,,External Collabortation,,,,"Manage Tapeout Submission, Tapeout Dryrun and Maskshop Assignment",,Legacy,Retire,1:N - replacement,Q1'25,Q1'26,Yes,Power Platform,,,,,Doug,JP,Enterprise,,
SWIFT App,5. Duplicate App,Enterprise,Yes,M2C,Corp,Corp,,External Collabortation,,,,"Manage Tapeout Submission, Tapeout Dryrun and Maskshop Assignment",,,,,,,No,,,"Duplicate with ""SWIFT"" app",,,Alex,JP,"Manufacturing, Technology & IT",TRUE,TRUE
FoundationIP App,5. Duplicate App,,N,Legal,Corp,Corp,,,,,,FoundationIP cloud service for Patent Management,,,,no change,,,No,,,,,,Alex,"Ng, Kian Ching","Manufacturing, Technology & IT",,
GPRS,3. GTO Done,Enterprise,N,Legal,Corp,Corp,,,Used to validate content of external publication of TD papers,,,Global publication request system,NA,,,no change,,,No,,,,,,Gopal,Sumeet Sharma,Enterprise,,
GPRS App,5. Duplicate App,,N,Legal,Corp,Corp,,,,,,Global publication request system,,,,no change,,,No,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
Policy Manager,1. Not Started,,N,Legal,Corp,Corp,Global,,,,,"Keeping policies up to date, coordinating the review and approval process across departments, navigating government and industry regulation, ensuring that all policies are read and understood, and having an audit-friendly policy management compliance prog",NA,,,,,,,,,,,,,Naveen Khana,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Datamart MRS SGP App ASMView,5. Duplicate App,,Y,"Legacy, Manufacturing Reporting",Corp,Corp,,,,,,ASMView Datamart for global OSAT,,,,,,,,,,,,,,Ramadurai Venkatachalam,"Enterprise, Manufacturing, Technology & IT",,
PARTS HUB,5. Duplicate App,Enterprise,N,"Legacy, Fab Setup","Corp, Fab9",Corp,Fab9,,,,, Products and technology,,,,,,,,,, Integration SAP S4,,,,Shirish Kanjikar,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
TCI  Suite - Postfab 9,3. GTO Done,Manufacturing,No,M2O,Prod,Prod,Fab9,Post Fab,,Manufacturing,Potential,Wafer & Module Test Data Processing,,Current,Hold,no change,,,,,,,,,Peter Goerigk,Bob McGary,,,
Boomi,3. GTO Done,Technology & IT,Y,IT-Integration,Corp,Corp,, Boomi cloud and on-premise system for applications integration,,Integration,No,Boomi cloud and on-premise system for applications integration,,Current,Invest ,no change,,, no change,,,PGoerigk: some fab integrations replaced by PDFS in R6, , DS,Alex,"DS, Zhang","Enterprise, Manufacturing, Technology & IT",,
IBM MQ Mfg,2. WIP,Technology & IT,Yes,Integration,Corp,Manufacturing,"Fab1, Fab8, Fab9",data exchange fab based execution and data distribution,Integration,No,"Message Queue used in Corp integration of Fabs, Message Queue, Message Queue (IBM Message Queue)",,Nearing EOL,Hold,no change,,,,,,,,,GF,Tosten Happ," Manufacturing, Technology & IT","Enterprise, Manufacturing, Technology & IT",,
IBM MQ Corp,3. GTO Done,Technology & IT,Yes,Integration,Corp,Corp,"Fab1, Fab8, Fab9",Manufacturing,data exchange fab and corp apps,Integration,No,"Message Queue used in Corp integration of Fabs, Message Queue, Message Queue (IBM Message Queue)",,Nearing EOL,Retire,1:0 - retirement,Q1'27,Q4'28,,PDFS,SMH,,,GF,Peter Goerigk,DS,"Enterprise, Manufacturing, Technology & IT",,
ISAM,6. Not an App,,Y,IT-IAM,Corp,Corp,,,,,,Tivoli Reverse Proxy & Single Sign-On,,,,1:1 - replacement,,,,,,,,,,DS,Enterprise,,
ISAM App,5. Duplicate App,,Y,IT-IAM,Corp,Corp,,,,,,Tivoli Reverse Proxy & Single Sign-On,,,,1:1 - replacement,,,,,,,,,Alex,DS,"Manufacturing, Technology & IT",TRUE,TRUE
ISDS,6. Not an App,,Y,IT-IAM,Corp,Corp,,,,,,Tivoli Authentication & SSO Metadata,,,,1:1 - replacement,,,,,,,,,,DS,Enterprise,,
ISDS App,5. Duplicate App,,Y,IT-IAM,Corp,Corp,,,,,,Tivoli Authentication & SSO Metadata,,,,1:1 - replacement,,,,,,,,,Alex,DS,"Manufacturing, Technology & IT",TRUE,TRUE
ISIM,6. Not an App,,Y,IT-IAM,Corp,Corp,,,,,,"Tivoli Identity Provisioning, Lifecycle Management, EBS Access Request",,,,1:1 - replacement,,,,,,,,,,DS,Enterprise,,
ISIM App,5. Duplicate App,,Y,IT-IAM,Corp,Corp,,,,,,"Tivoli Identity Provisioning, Lifecycle Management, EBS Access Request",,,,1:1 - replacement,,,,,,,,,Alex,DS,"Manufacturing, Technology & IT",TRUE,TRUE
ISLDAP,1. Not Started,,Y,IT-IAM,Corp,Corp,,,,,,SGFTP user authentication & home dir info,,,,1:1 - replacement,,,,,,,,,Haiping,DS,Enterprise,,
ISLDAP App,5. Duplicate App,,Y,IT-IAM,Corp,Corp,,,,,,SGFTP user authentication & home dir info,,,,1:1 - replacement,,,,,,,,,Alex,DS,"Manufacturing, Technology & IT",TRUE,TRUE
Microsoft Entra (aka Azure AD),1. Not Started,,Y,IT-IAM,Corp,Corp,," Identity Management for GF employees, contractors, customers, suppliers and partners", Azure AD,Azure AD,,"Identity Management for GF employees, contractors, customers, suppliers and partners",,,,N:1 - consolidation,,," No, N:1 - consolidation",," 9/26 Haiping: Start using Azure AD for internal users, then customers in Azure AD Guest and finally suppliers in Azure AD Guest","9/26 Haiping: Start using Azure AD for internal users, then customers in Azure AD Guest and finally suppliers in Azure AD Guest",, DS,Haiping,DS,"Enterprise, Manufacturing, Technology & IT",,
Oracle Directory,6. Not an App,,N,IT-IAM,Corp,Corp,, EBS & ASCP Single Sign-On,,,,EBS & ASCP Single Sign-On,,,,1:0 - retirement,,, 1:0 - retirement,,,,, DS,Haiping,DS,"Enterprise, Technology & IT",,
Oracle Directory App,5. Duplicate App,,N,IT-IAM,Corp,Corp,,,,,,EBS & ASCP Single Sign-On,,,,1:0 - retirement,,,,,,,,,Alex,DS,"Manufacturing, Technology & IT",TRUE,TRUE
Oracle IAM,6. Not an App,,Y,IT-IAM,Corp,Corp,, Provisioning to Oracle Directory,,,,Provisioning to Oracle Directory,,,,1:0 - retirement,,, 1:0 - retirement,,,,, DS,Haiping,DS,"Enterprise, Technology & IT",,
Oracle IAM App,5. Duplicate App,,Y,IT-IAM,Corp,Corp,,,,,,Provisioning to Oracle Directory,,,,1:0 - retirement,,,,,,,,,Alex,DS,"Manufacturing, Technology & IT",TRUE,TRUE
Clarity PPM,1. Not Started,Technology & IT,N,IT-App Admin,Corp,Corp,,,,,,Clarity application for Program and Project Management (PPM),,,,1:0 - retirement,,,No,,,,,,,Lahir Patel,Enterprise,,
Clarity PPM App,5. Duplicate App,,N,IT-App Admin,Corp,Corp,,,,,,Clarity application for Program and Project Management (PPM),,,,1:0 - retirement,,,,,,,,,Alex,Lahir Patel,"Manufacturing, Technology & IT",TRUE,TRUE
G-AppEngine Apps,1. Not Started,,N,IT-App Admin,Corp,Corp,,,,,,"GF developed applications running on Google App Engine, such as Enterprise Notification, Enterprise Approval & Downtime Scheduler",,,,1:0 - retirement,,,,,,,,,Haiping,Harikrishna D,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
OpenText Archiver App,3. GTO Done,Enterprise,Yes,IT-App Admin,Corp,Corp,,Finance,AP Invoice automation / DMS,,,Data archive system,Wave 2,EOL,Assess,N:1 - consolidation,,,No,SAP S4,SAP VIM,SAP VIM offers standard invoice image processing and DMS,, Adi Challa,Gopal,Adi Challa,"Manufacturing, Technology & IT",TRUE,TRUE
OpenText InfoArchive,5. Duplicate App,,N,IT-App Admin,Corp,Corp,, Data archive system,,,,Data archive system,,,,no change,,, no change,,,, Haiping, Adi Challa,Alex,Adi Challa,"Enterprise, Technology & IT",,
ServiceNow,3. GTO Done,Technology & IT,N,IT-App Admin,Corp,Corp,,,,IT,No,IT Service Management Cloud Services,,Current,Invest ,no change,,,No,,,,,,Alex,Meng Yong Quek,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Sharepoint,3. GTO Done,Technology & IT,Y,IT-App Admin,Corp,Corp,, Microsoft Sharepoint platform for internal office automation,,Collaboration & Communication,No,Microsoft Sharepoint platform for internal office automation,,Current,Invest ,no change,,, no change,,,, Haiping, Bernd Robel,Alex,Bernd Robel,"Enterprise, Technology & IT",,
Sharepoint App,5. Duplicate App,,Y,IT-App Admin,Corp,Corp,,,,,,Microsoft Sharepoint platform for internal office automation,,,,no change,,,,,,,,,Alex,Bernd Robel,"Manufacturing, Technology & IT",TRUE,TRUE
OMS AsmView-BB,3. GTO Done,Manufacturing,Yes,Manufacturing,Corp,Corp,Post Fab,System Integration AsmView-BB,Integration,No,Jboss Common Automation Platfom,R6,Current,Replace,1:N - replacement,Q1'28,TBD,Yes,PDF / S4 Hana,," Integrate with SAP S4, Integration with SAP S4, Integration SAP S4 EAM",,,Peter Goerigk,Mahesh,"Manufacturing, Technology & IT",,,
MFT (what SW?),1. Not Started,Enterprise,Y,Integration,Corp,Corp,," Managed File Transfer with customers, suppliers and partners. About 60-70 individual user accounts managed locally on MFT system.",,,,"Managed File Transfer with customers, suppliers and partners. About 60-70 individual user accounts managed locally on MFT system.",,,,no change,, No,"No, no change",,,,, DS Srinivas,,DS Srinivas,"Enterprise, Technology & IT",,
MFT App,5. Duplicate App,,Y,Integration,Corp,Corp,,,,,,"Managed File Transfer with customers, suppliers and partners. About 60-70 individual user accounts managed locally on MFT system.",,,,no change,,,,,,,,,Alex,DS Srinivas,"Manufacturing, Technology & IT",TRUE,TRUE
Oracle Golden Gate,3. GTO Done,Technology & IT,N,Integration,"Corp, Fab1, Fab7, Fab8, Fab9, Giga",Corp,"Fab1, Fab7, Fab8, Fab9, Giga", Data Extraction,,Integration,No,Data Extraction,,Current,Invest ,no change,,,,,,,, Raghu Balgi / Thomas R /Manikandan,Alex,Raghu Balgi / Thomas R /Manikandan,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
PDFS SMH - Pdf Solutions Smart Mfg Hub,3. GTO Done,Technology & IT,Yes,M2O,Corp,Corp,Global,FAB,S4 Fab integration,Integration,Potential,Middleware S4 to Fab integration,Introduced,Current,Invest ,N:1 - consolidation,Q1'27,Q4'28,,PDFS,SMH,replace JCAP-Corp & AsmView-BB,Peter G,PDFS,Peter Goerigk,Manish Mishra,"Enterprise, Manufacturing, Technology & IT",,
SAP BTP,3. GTO Done,Technology & IT,New,Integration,Corp,Corp,, SAP Business Technology Platform cloud services,,IT,No,SAP Business Technology Platform cloud services,8Introduced,Current,Invest ,0:1 - new system,,,Yes,,,,, DS,Alex,DS,"Enterprise, Manufacturing, Technology & IT",,
SGFTP System,1. Not Started,Enterprise,Y,Integration,Corp,Corp,, Secure file transfer between GF manufacturing sites and GF customers or suppliers or subcontractors or partners. SGFTP system is mainly used for Tapeout file transfer and OSAT file transfer.,,,,Secure file transfer between GF manufacturing sites and GF customers or suppliers or subcontractors or partners. SGFTP system is mainly used for Tapeout file transfer and OSAT file transfer.,,,,1:1 - replacement,,, 1:1 - replacement,,,,,,Doug,,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
ASMView backbone,3. GTO Done,Manufacturing,Yes,M2O,Corp,Corp,Global,Post Fab,Postfab / Turnkey WIP mgmt & tracking,Manufacturing,Potential,Turnkey Logistics & WIP management,R6,Nearing EOL,Replace,1:0 - retirement,Q1'27,Q4'28,,PDFS,SMH,,,,Peter Goerigk,Ellyas,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Agile PLM,3. GTO Done,Enterprise,Yes,I2P,Corp,Corp,,,Current Product Lifecycle Management system with multiple integrations in place,,,Product Life Cycle Management,Wave 2,Current,Replace,1:1 - replacement,Q1'25,Q1'27,Yes,Teamcenter,,"9/22 Peter: based on Adarsh discussion. In release 5 we will start data migration for Fab1, but system will still remain for a long time.
2/12: Agile PLM will be replaced by Teamcenter in Release 6. IP will be moved to Teamcenter in Release 4, development work has been already started. (Removed Agile PLM duplciate entries and consolidated into one row) - Adarsh",,,Adarsh,JP,Enterprise,,
Agile PLM App,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,Product Life Cycle Management,,,,1:1 - replacement,,,,Teamcenter,,"9/22 Peter: based on Adarsh discussion. In release 5 we will start data migration for Fab1, but system will still remain for a long time.
2/12: Removed Agile PLM duplicate entries and consolidated into Row 17 - Adarsh",,,Adarsh,JP,"Manufacturing, Technology & IT",TRUE,TRUE
FoundationIP,1. Not Started,,N,I2P,Corp,Corp,,,,,,FoundationIP cloud service for Patent Management,NA,,,no change,,,,,,,,,Gopal,"Ng, Kian Ching",Enterprise,,
IP Catalog,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,A complete catalog of all IP available to our customers for building solution,Release 3,,,1:1 - replacement,,, Yes,D365 will provision IP Catalog. Agile PLM will feed data,,"For Release 3 - Agile PLM will feed the IP data. D365 will provision IP Catalog in portal. Long term (Release 5?), IP Catalog will be in Teamcenter - Adarsh
2/12- IP Catalog is not an application. It will be developed within Teamcenter and provisioned to D365 - Adarsh",,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
PartsHub,3. GTO Done,Enterprise,No,I2P,Corp,Corp,,,,,,Product parts management,Wave 2,Current,Replace,1:1 - replacement,Q1'26,Q1'27,No,Teamcenter,,"For Release 5, Fab 1 data of Product Data Model along with configurations will be in Teamcenter. Parts hub is for Fab9 & 10, so no impact to Parts Hub in Wave 1 - Adarsh
2/13: PartsHub will be replaced by Teamcenter by Release 6 - Adarsh",,,Adarsh,JP,Enterprise,,
PartsHub App,5. Duplicate App,,N,I2P,Corp,Corp,,,,,,"Product parts management

UAT URL:
https://partshub-test.gfoundries.com/PartsHub",,,,1:1 - replacement,,,,Teamcenter,,"For Release 5, Fab 1 data of Product Data Model along with configurations will be in Teamcenter. Parts hub is for Fab9 & 10, so no impact to Parts Hub in Wave 1 - Adarsh
2/13: Duplicate entry, captured in row 461 - Adarsh",,,Adarsh,JP,"Manufacturing, Technology & IT",TRUE,TRUE
Product Configurator,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,Digital product catalog used to capture Bill of Material for Design Win/Pre-Tapeout etc,,,,1:1 - replacement,,,,Teamcenter,,"For Release 5 - Teamcenter will have the product data model and configuration for Fab 1 data - Adarsh
2/13: Duplicate entry, captured in row 502 - Adarsh",,,Adarsh,JP,"Manufacturing, Technology & IT",,
"Product Configurator 
(check product configurator ATLAS)",3. GTO Done,Enterprise,Yes,I2P,Corp,Corp,,,,,,Digital product catalog used to capture Bill of Material for Design Win/Pre-Tapeout etc,Wave 2,,,1:1 - replacement,Q1'26,Q1'27,No,Teamcenter,,For Release 5 - Teamcenter will have the product data model and configuration for Fab 1 data - Adarsh,,,Adarsh,JP,Enterprise,,
Teamcenter APQP,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,APQP Program Management - Adarsh,,,Adarsh,,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Audit & Assessment,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,In conjunction with FMEA - Adarsh,,,Adarsh,,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Change Management,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,"CM is used for MRD, PRD, Tech Specs in R1. IP & Document changes in R3. Product Data Model changes in R5 - Adarsh",,,Adarsh,,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter,3. GTO Done,Enterprise,Y,I2P,Corp,Corp,,,New Product LifeCycle Management system,,,,NA,Current,Invest ,0:1 - new system,Q1'25,Q1'27,Yes,,,"Teamcenter classification is used for IP Requirement in R1 and also for IP in R3 - Adarsh
2/13: Teamcenter is our new PLM, replaces Agile PLM in Release 6 - Adarsh",,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Control/Inspection Planning,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,CPIP integration happens as a component of mBOM send to MES to create route/SPC charts - Adarsh,,,Adarsh,,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter FMEA,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,Managing Design and Process FMEAs in Teamcenter - Adarsh,,,Adarsh,,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Gateway (T4EA),3. GTO Done,Technology & IT,Yes,I2P,Corp,Corp,,,Gateway for Teamcenter and Enterprise system integration,,,,NA,Current,Invest ,0:1 - new system,Q1'25,Q1'27,No,,,"Integration layer between TC and other enterprise systems (CRM, MES, Legacy). For Ideas/bugs between TC and CRM in R3. For BOM/BOP to MES for R5 - Adarsh",,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Integration for SAP S/4,3. GTO Done,Technology & IT,Yes,I2P,Corp,Corp,,,Gateway for Teamcenter and SAP integration,,,,NA,Current,Invest ,0:1 - new system,Q1'25,Q1'27,No,,,Integration layer between TC and S4. For BOM/BOP to transfer in R4 & R5 - Adarsh,,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Manufacturing (Easy Plan),5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,BOP management in Teamcenter and share instructions to MES - Adarsh,,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter NPI Bundle (Idea Management),5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,NPI bundle is to manage ideas in Teamcenter - Adarsh,,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Product Configurator,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,Product configurator in Teamcenter in R5 - Adarsh,,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Program Planning,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,For PPM and PMA functionalities. It will be addressed either in R3 or R5 - Adarsh,,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Quality Issue & Action Management,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,For Bugs in R3 - Adarsh,,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Requirement Management,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,"Teamcenter Requirement Management is used for managing MRD, PRD, Tech Specs in R1 - Adarsh",,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
Teamcenter Schedule Management,5. Duplicate App,,Y,I2P,Corp,Corp,,,,,,,NA,,,0:1 - new system,,,,,,For PPM and PMA functionalities. It will be addressed either in R3 or R5 - Adarsh,,,Adarsh,JP,"Enterprise, Manufacturing, Technology & IT",,
DeBice,3. GTO Done,Enterprise,Y,I2P,,Corp,,Design Enablement,,,No,"Device DataBase is a Web-database system to manage, collaborate and control changes of device information",R6,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,Teamcenter,,,,,Adarsh,JP,Enterprise,,
REDA (Regression),3. GTO Done,Enterprise,Yes,I2P,,Corp,,IP,REDA helps to carry out the physical assessment process. PDK Compatility updates are sent to IP Catalog,,,,,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,SAP-QM,,Quality process related will move to SAP QM,,,Adarsh,Sumeet,Enterprise,,
ADP Payroll App,5. Duplicate App,,Y,HR,Corp,Corp,,,,,,Cloud service for Payroll for US employees,,,,,,,,,,,, Adi Challa,,Adi Challa,Enterprise,TRUE,TRUE
AON*,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Benefits - Manage and maintain Singapore heathcare,,,,no change,,,,,,,,,Alex,Sagar,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
ATOSS,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Shift Planner,,,,,,,,,,,,,,Sagar,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Benevity,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Benevity cloud service for charitable giving & volunteering program management (Global).,,,,,,,,,,,,,Alex,Sagar,Enterprise,,
Benevity App,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Benevity cloud service for charitable giving & volunteering program management (Global).,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
CREG/VREG,1. Not Started,Enterprise,Y,HR,Corp,Corp,,,,,,Contractor and Visitor Registration,,,,no change,,,,,,,,,,Sumeet Sharma/Rom Nakonieczny/Brandon Carey,Enterprise,,
FESCO - China PayRoll,5. Duplicate App,,N,HR,Corp,Corp,,,,,,FESCO Payroll system for GF China,,,,,,,,,,,,,Alex,Sagar,Enterprise,,
FESCO - China PayRoll App,5. Duplicate App,,N,HR,Corp,Corp,,,,,,FESCO Payroll system for GF China,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
Glint*,6. Not an App,,N,HR,Corp,Corp,,,,,,Survey Tool,,,,no change,,,,,,,,,,Sagar,"Enterprise, Manufacturing, Technology & IT",,
LinkedIn Learning,5. Duplicate App,,N,HR,Corp,Corp,,,,,,"Online education company offering video courses taught by industry experts in software, creative, and business skills.",,,,,,,,,,,,,Alex,Sagar,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
MentorcliQ,1. Not Started,,N,HR,Corp,Corp,,,,,,CTO mentoring program.,,,,,,,,,,,,,,"Tinkler, Janet",Enterprise,,
MentorcliQ App,5. Duplicate App,,N,HR,Corp,Corp,,,,,,CTO mentoring program.,,,,,,,,,,,,,Alex,"Tinkler, Janet","Manufacturing, Technology & IT",TRUE,TRUE
Metlife*,6. Not an App,,N,HR,Corp,Corp,,,,,,Benefits - Leaves and disability management,,,,,,,,,,,,,,Sagar,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
PeopleSoft ELM,1. Not Started,,N,HR,Corp,Corp,,,,,,HR learning management,,,,,,,,,,,,,,Sagar,"Manufacturing, Technology & IT",,
PeopleSoft HCM,1. Not Started,,,HR,Corp,Corp,,,,,,Human Capital Management (HCM) functions and interfaces with other systems,,,,,,,,,,,,,,Sagar,"Manufacturing, Technology & IT",,
Prudential*,1. Not Started,,N,HR,Corp,Corp,,,,,,Benefits - Manage and maintain the 401K,,,,,,,,,,,,,,Sagar,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
Ramco PayRoll SGP,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Ramco Payroll system for Singapore,,,,,,,,,,,,,Alex,Sagar,Enterprise,,
Ramco PayRoll SGP App,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Ramco Payroll system for Singapore,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
RedCat,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Compensation management,,,,,,,,,,,,,Alex,Sagar,Enterprise,,
RedCat App,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Compensation management,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
SAP/Payroll,5. Duplicate App,Enterprise,Y,HR,Corp,Corp,,,,,,Employee payroll management,,,,,,,,,,,,,Alex,Sagar,Enterprise,,
SAP/Payroll App,5. Duplicate App,,Y,HR,Corp,Corp,,,,,,Employee payroll management,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
Sumtotal LMS,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Cloud service SumTotal Learning Management System,,,,,,,,,,,,,Alex,Sagar,Enterprise,,
Sumtotal LMS App,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Cloud service SumTotal Learning Management System,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
Taleo,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Oracle Taleo cloud service for HR recruiting and onboarding functions,,,,,,,,,,,,,Alex,Sagar,Enterprise,,
Taleo App,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Oracle Taleo cloud service for HR recruiting and onboarding functions,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
Willis Towers Watson*,5. Duplicate App,,N,HR,Corp,Corp,,,,,,Benefits - Yearly Enrollment Management,,,,,,,,,,,,,Alex,Sagar,"Enterprise, Manufacturing, Technology & IT",,
Workday HCM,2. WIP,Enterprise,Y,HR,Corp,Corp,Global,,,,,Human Capital Management (HCM) functions and interfaces with other systems,,Current,Invest ,,,,,,,"Impacted by Phoenix: Cost Center, Integrations",,,Peter Beyer,Sagar,Enterprise,,
Workday HCM App,5. Duplicate App,,Y,HR,Corp,Corp,,,,,,Human Capital Management (HCM) functions and interfaces with other systems,,,,,,,,,,,,,Alex,Sagar,"Manufacturing, Technology & IT",TRUE,TRUE
ADP Payroll USA,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,Cloud service for Payroll for US employees,,Current,Assess,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
AON*,2. WIP,Enterprise,N,HR,,Corp,SGP,HR,,,,Benefits - Manage and maintain Singapore heathcare,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,TRUE,TRUE
ATOSS,6. Not an App,Enterprise,N,HR,,Corp,Fab1,HR,,,,Shift Planner,,EOL,,,,,,,,Has been consolidated into SAP/Payroll (2023),,,Peter Beyer,Sagar,Enterprise,TRUE,TRUE
Benevity,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,Benevity cloud service for charitable giving & volunteering program management (Global).,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
FESCO - China PayRoll,2. WIP,Enterprise,N,HR,,Corp,China,HR,,,,FESCO Payroll system for GF China,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
MS Viva Glint,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,Survey Tool,,Current,Hold,,,,,,,"Glint was aquired by Microsoft and is now called ""Microsoft Viva Glint"" (2024)",,,Peter Beyer,Prakash,Enterprise,,
LinkedIn Learning,2. WIP,Enterprise,N,HR,,Corp,Global,HR,,,,"Online education company offering video courses taught by industry experts in software, creative, and business skills.",,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,TRUE,TRUE
MentorcliQ,6. Not an App,Enterprise,N,HR,,Corp,Global,HR,,,,CTO mentoring program.,,EOL,,,,,,,,MentorCliQ has been consoidated into Workday (2023),,,Peter Beyer,"Tinkler, Janet",Enterprise,,
Metlife*,6. Not an App,Enterprise,N,HR,,Corp,USA,HR,,,,Benefits - Leaves and disability management,,EOL,,,,,,,,GF replaced Metlife with Lincoln (2024),,,Peter Beyer,Sagar,Enterprise,TRUE,TRUE
Prudential*,2. WIP,Enterprise,N,HR,,Corp,USA,HR,,,,Benefits - Manage and maintain the 401K,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,TRUE,TRUE
Ramco PayRoll SGP,2. WIP,Enterprise,N,HR,,Corp,SGP,HR,,,,Ramco Payroll system for Singapore,,Current,Hold,,,,,,,,,,Peter Beyer,Prakash,Enterprise,,
